instruction,input,output
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",tum apne shikwe ki baaten na khod khod ke puchho,tum apne shikve kī bāteñ na khod khod ke pūchho hazar karo mire dil se ki is meñ aag dabī hai dilā ye dard-o-alam bhī to muġhtanim hai ki āḳhir na girya-e-saharī hai na āh-e-nīm-shabī hai nazar ba-naqs-e-gadāyāñ kamāl-e-be-adabī hai ki ḳhār-e-ḳhushk ko bhī dāvā-e-chaman-nasabī hai Interestinghuā visāl se shauq-e-dil-e-harīs ziyāda lab-e-qadah pe kaf-e-bāda josh-e-tishna-labī hai ḳhushā vo dil ki sarāpā tilism-e-be-ḳhabarī ho junūn o yaas o alam rizq-e-mudda.ā-talabī hai chaman meñ kis ke ye barham hui hai bazm-e-tamāshā ki barg barg-e-saman shīsha reza-e-halabī hai imām-e-zāhir-o-bātin amīr-e-sūrat-o-ma.anī 'alī' valī asadullāh jānashīn-e-nabī hai tum apne shikwe ki baaten na khod khod ke puchho hazar karo mere dil se ki is mein aag dabi hai dila ye dard-o-alam bhi to mughtanim hai ki aaKHir na girya-e-sahari hai na aah-e-nim-shabi hai nazar ba-naqs-e-gadayan kamal-e-be-adabi hai ki KHar-e-KHushk ko bhi dawa-e-chaman-nasabi hai Interestinghua visal se shauq-e-dil-e-haris ziyaada lab-e-qadah pe kaf-e-baada josh-e-tishna-labi hai KHusha wo dil ki sarapa tilism-e-be-KHabari ho junun o yas o alam rizq-e-muddaa-talabi hai chaman mein kis ke ye barham hui hai bazm-e-tamasha ki barg barg-e-saman shisha reza-e-halabi hai imam-e-zahir-o-baatin amir-e-surat-o-mani 'ali' wali asadullah jaanashin-e-nabi hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",ohde se madh-e-naz ke bahar na aa saka,ohde se mad.h-e-nāz ke bāhar na aa sakā gar ik adā ho to use apnī qazā kahūñ halqe haiñ chashm-hā-e-kushāda ba-sū-e-dil har tār-e-zulf ko nigah-e-surma-sā kahūñ maiñ aur sad-hazār navā-e-jigar-ḳharāsh tū aur ek vo nā-shunīdan ki kyā kahūñ zālim mire gumāñ se mujhe munfa.il na chaah hai hai ḳhudā-na-karda tujhe bevafā kahūñ ohde se madh-e-naz ke bahar na aa saka gar ek ada ho to use apni qaza kahun halqe hain chashm-ha-e-kushada ba-su-e-dil har tar-e-zulf ko nigah-e-surma-sa kahun main aur sad-hazar nawa-e-jigar-KHarash tu aur ek wo na-shunidan ki kya kahun zalim mere guman se mujhe munfail na chah hai hai KHuda-na-karda tujhe bewafa kahun 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",simab-pusht garmi-e-aina de hai hum,sīmāb-pusht garmi-e-ā.īna de hai ham hairāñ kiye hue haiñ dil-e-be-qarār ke āġhosh-e-gul kushūda barā-e-vidā hai ai andalīb chal ki chale din bahār ke yuuñ bād-e-zabt-e-ashk phirūñ gird yaar ke paanī piye kisū pe koī jaise vaar ke bād-az-vidā-e-yār ba-ḳhūñ dar tapīda haiñ naqsh-e-qadam haiñ ham kaf-e-pā-e-nigār ke ham mashq-e-fikr-e-vasl-o-ġham-e-hijr se 'asad' laa.eq nahīñ rahe haiñ ġham-e-rozgār ke simab-pusht garmi-e-aina de hai hum hairan kiye hue hain dil-e-be-qarar ke aaghosh-e-gul kushuda bara-e-wida hai ai andalib chal ki chale din bahaar ke yun baad-e-zabt-e-ashk phirun gird yar ke pani piye kisu pe koi jaise war ke baad-az-wida-e-yar ba-KHun dar tapida hain naqsh-e-qadam hain hum kaf-e-pa-e-nigar ke hum mashq-e-fikr-e-wasl-o-gham-e-hijr se 'asad' laeq nahin rahe hain gham-e-rozgar ke 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",tapish se meri waqf-e-kashmakash har tar-e-bistar hai,tapish se merī vaqf-e-kashmakash har tār-e-bistar hai mirā sar rañj-e-bālīñ hai mirā tan bār-e-bistar hai sarishk-e-sar ba-sahrā daada nūr-ul-ain-e-dāman hai dil-e-be-dast-o-pā uftāda bar-ḳhurdār-e-bistar hai ḳhushā iqbāl-e-rañjūrī ayādat ko tum aa.e ho faroġh-e-sham-e-bālīñ tāla-e-bedār-e-bistar hai ba-tūfāñ-gāh-e-josh-e-iztirāb-e-shām-e-tanhā.ī shuā-e-āftāb-e-sub.h-e-mahshar tār-e-bistar hai abhī aatī hai bū bālish se us kī zulf-e-mushkīñ kī hamārī diid ko ḳhvāb-e-zuleḳhā ār-e-bistar hai kahūñ kyā dil kī kyā hālat hai hijr-e-yār meñ ġhālib ki betābī se har-yak tār-e-bistar ḳhār-e-bistar hai tapish se meri waqf-e-kashmakash har tar-e-bistar hai mera sar ranj-e-baalin hai mera tan bar-e-bistar hai sarishk-e-sar ba-sahra dada nur-ul-ain-e-daman hai dil-e-be-dast-o-pa uftada bar-KHurdar-e-bistar hai KHusha iqbaal-e-ranjuri ayaadat ko tum aae ho farogh-e-sham-e-baalin tala-e-bedar-e-bistar hai ba-tufan-gah-e-josh-e-iztirab-e-sham-e-tanhai shua-e-aftab-e-subh-e-mahshar tar-e-bistar hai abhi aati hai bu baalish se us ki zulf-e-mushkin ki hamari did ko KHwab-e-zuleKHa aar-e-bistar hai kahun kya dil ki kya haalat hai hijr-e-yar mein ghaalib ki betabi se har-yak tar-e-bistar KHar-e-bistar hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",wusat-e-sai-e-karam dekh ki sar-ta-sar-e-KHak,vus.at-e-sa.i-e-karam dekh ki sar-tā-sar-e-ḳhāk guzre hai ābla-pā abr-e-guhar-bār hunūz yak-qalam kāġhaz-e-ātish-zada hai safha-e-dasht naqsh-e-pā meñ hai tab-e-garmī-e-raftār hunūz dāġh-e-atfāl hai dīvāna ba-kohsār hunūz ḳhalvat-e-sañg meñ hai naala talab-gār hunūz ḳhāna hai sail se ḳhū-karda-e-dīdār hunūz dūrbīñ dar-zada hai raḳhna-e-dīvār hunūz aa.ī yak-umr se ma.azūr-e-tamāsha nargis chashm-e-shabnam meñ na TuuTā mizha-e-ḳhār hunūz kyuuñ huā thā taraf-e-ābla-e-pā yā-rab jaada hai vā-shudan-e-pechish-e-tūmār hunūz hoñ ḳhamoshī-e-chaman hasrat-e-dīdār 'asad' mizha hai shāna-kash-e-turra-e-guftār hunūz wusat-e-sai-e-karam dekh ki sar-ta-sar-e-KHak guzre hai aabla-pa abr-e-guhar-bar hunuz yak-qalam kaghaz-e-atish-zada hai safha-e-dasht naqsh-e-pa mein hai tab-e-garmi-e-raftar hunuz dagh-e-atfal hai diwana ba-kohsar hunuz KHalwat-e-sang mein hai nala talab-gar hunuz KHana hai sail se KHu-karda-e-didar hunuz durbin dar-zada hai raKHna-e-diwar hunuz aai yak-umr se mazur-e-tamasha nargis chashm-e-shabnam mein na TuTa mizha-e-KHar hunuz kyun hua tha taraf-e-abla-e-pa ya-rab jada hai wa-shudan-e-pechish-e-tumar hunuz hon KHamoshi-e-chaman hasrat-e-didar 'asad' mizha hai shana-kash-e-turra-e-guftar hunuz 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",jada-e-rah KHur ko waqt-e-sham hai tar-e-shuaa,jāda-e-rah ḳhur ko vaqt-e-shām hai tār-e-shuā.a charḳh vā kartā hai māh-e-nau se āġhosh-e-vidā.a sham.a se hai bazm-e-añgusht-e-tahayyur dar dahan sho.ala-e-āvāz-e-ḳhūbāñ par ba-hañgām-e-simā.a juuñ par-e-tā.ūs jauhar taḳhta mashq-e-rañg hai bas-ki hai vo qibla-e-ā.īna mahv-e-iḳhtirā.a ranjish-e-hairat-sarishtāñ sīna-sāfī peshkash jauhar-e-ā.īna hai yaañ gard-e-maidān-e-nazā.a chaar sū-e-dahr meñ bāzār-e-ġhaflat garm hai aql ke nuqsāñ se uThtā hai ḳhayāl-e-intifā.a āshnā 'ġhālib' nahīñ haiñ dard-e-dil ke āshnā varna kis ko mere afsāne kī tāb-e-istimā.a jada-e-rah KHur ko waqt-e-sham hai tar-e-shuaa charKH wa karta hai mah-e-nau se aaghosh-e-widaa shama se hai bazm-e-angusht-e-tahayyur dar dahan shoala-e-awaz-e-KHuban par ba-hangam-e-simaa jun par-e-taus jauhar taKHta mashq-e-rang hai bas-ki hai wo qibla-e-aina mahw-e-iKHtiraa ranjish-e-hairat-sarishtan sina-safi peshkash jauhar-e-aina hai yan gard-e-maidan-e-nazaa chaar su-e-dahr mein bazar-e-ghaflat garm hai aql ke nuqsan se uThta hai KHayal-e-intifaa aashna 'ghaalib' nahin hain dard-e-dil ke aashna warna kis ko mere afsane ki tab-e-istimaa 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",KHatar hai rishta-e-ulfat rag-e-gardan na ho jawe,ḳhatar hai rishta-e-ulfat rag-e-gardan na ho jaave ġhurūr-e-dostī aafat hai tū dushman na ho jaave samajh is fasl meñ kotāhi-e-nashv-o-numā 'ġhālib' agar gul sarv ke qāmat pe pairāhan na ho jaave KHatar hai rishta-e-ulfat rag-e-gardan na ho jawe ghurur-e-dosti aafat hai tu dushman na ho jawe samajh is fasl mein kotahi-e-nashw-o-numa 'ghaalib' agar gul sarw ke qamat pe pairahan na ho jawe 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",kare hai baada tere lab se kasb-e-rang-e-farogh,kare hai baada tire lab se kasb-e-rañg-e-faroġh ḳhat-e-piyāla sarāsar nigāh-e-gul-chīñ hai kabhī to is dil-e-shorīda kī bhī daad mile ki ek umr se hasrat-parast-e-bālīñ hai bajā hai gar na sune nāla-hā-e-bulbul-e-zār ki gosh-e-gul nam-e-shabnam se pamba-āgīñ hai 'asad' hai naza.a meñ chal bevafā barā-e-ḳhudā maqām-e-tark-e-hijāb o vidā-e-tamkīñ hai kare hai baada tere lab se kasb-e-rang-e-farogh KHat-e-piyala sarasar nigah-e-gul-chin hai kabhi to is dil-e-shorida ki bhi dad mile ki ek umr se hasrat-parast-e-baalin hai baja hai gar na sune nala-ha-e-bulbul-e-zar ki gosh-e-gul nam-e-shabnam se pamba-agin hai 'asad' hai naza mein chal bewafa bara-e-KHuda maqam-e-tark-e-hijab o wida-e-tamkin hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",kar-gah-e-hasti mein lala dagh-saman hai,kār-gāh-e-hastī meñ laala dāġh-sāmāñ hai barq-e-ḳhirman-e-rāhat ḳhūn-e-garm-e-dahqāñ hai ġhuncha tā shaguftan-hā barg-e-āfiyat mālūm bā-vajūd-e-dil-jam.ī ḳhvāb-e-gul pareshāñ hai ham se rañj-e-betābī kis tarah uThāyā jaa.e daaġh pusht-e-dast-e-ijz sho.ala ḳhas-ba-dandāñ hai ishq ke taġhāful se harzah-gard hai aalam rū-e-shash-jihat-āfāq pusht-e-chashm-e-zindāñ hai kar-gah-e-hasti mein lala dagh-saman hai barq-e-KHirman-e-rahat KHun-e-garm-e-dahqan hai ghuncha ta shaguftan-ha barg-e-afiyat malum ba-wajud-e-dil-jami KHwab-e-gul pareshan hai hum se ranj-e-betabi kis tarah uThaya jae dagh pusht-e-dast-e-ijz shoala KHas-ba-dandan hai ishq ke taghaful se harzah-gard hai aalam ru-e-shash-jihat-afaq pusht-e-chashm-e-zindan hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",na lewe gar KHas-e-jauhar tarawat sabza-e-KHat se,na leve gar ḳhas-e-jauhar tarāvat sabza-e-ḳhat se lagā.e ḳhāna-e-ā.īna meñ rū-e-nigār ātish faroġh-e-husn se hotī hai hall-e-mushkil-e-āshiq na nikle sham.a ke pā se nikāle gar na ḳhaar ātish sharar hai rañg ba.ad iz.hār-e-tāb-e-jalva-e-tamkīñ kare hai sañg par ḳhurshīd āb-e-rū-e-kār ātish panāve be-gudāz-e-mom rabt-e-paikar-ārā.ī nikāle kyā nihāl-e-sham.a be-tuḳhm-e-sharār ātish ḳhayāl-e-dūd thā sar-josh-e-saudā-e-ġhalat-fahmī agar rakhtī na ḳhākistar-nashīnī kā ġhubār ātish havā-e-par-fishānī barq-e-ḳhirman-hā-e-ḳhātir hai ba-bāl-e-sho.ala-e-betāb hai parvāna-zār ātish nahīñ barq-o-sharar juz vahshat-e-zabt-e-tapīdan-hā bilā gardān-e-be-parvā ḳharāmī-hā-e-yār ātish dhueñ se aag ke ik abr-e-dariyā-bār ho paidā 'asad' haidar-parastoñ se agar hove do-chār ātish na lewe gar KHas-e-jauhar tarawat sabza-e-KHat se lagae KHana-e-aina mein ru-e-nigar aatish farogh-e-husn se hoti hai hall-e-mushkil-e-ashiq na nikle shama ke pa se nikale gar na KHar aatish sharar hai rang baad izhaar-e-tab-e-jalwa-e-tamkin kare hai sang par KHurshid aab-e-ru-e-kar aatish panawe be-gudaz-e-mom rabt-e-paikar-arai nikale kya nihaal-e-shama be-tuKHm-e-sharar aatish KHayal-e-dud tha sar-josh-e-sauda-e-ghalat-fahmi agar rakhti na KHakistar-nashini ka ghubar aatish hawa-e-par-fishani barq-e-KHirman-ha-e-KHatir hai ba-baal-e-shoala-e-betab hai parwana-zar aatish nahin barq-o-sharar juz wahshat-e-zabt-e-tapidan-ha bila gardan-e-be-parwa KHarami-ha-e-yar aatish dhuen se aag ke ek abr-e-dariya-bar ho paida 'asad' haidar-paraston se agar howe do-chaar aatish 
